title,time_str,time,url_link,location,county,state,magnitude,depth_km,depth_mi
M 1 4 30 km S of Mina Nevada,2022-04-14T21:37:03.627Z,2022-04-14 21:37:03.627000,https://earthquake.usgs.gov/earthquakes/eventpage/nn00837200,"{'type': 'Point', 'coordinates': (-118.1187, 38.117)}",Mina,Nevada,1.4,9.90,6.15
M 1 3 4km WNW of Ojai CA,2022-04-14T23:13:17.020Z,2022-04-14 23:13:17.020000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236472,"{'type': 'Point', 'coordinates': (-119.285, 34.4573333)}",Ojai,CA,1.3,1.23,0.76
M 0 8 13km NW of The Geysers CA,2022-04-14T21:33:15.908Z,2022-04-14 21:33:15.908000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717590,"{'type': 'Point', 'coordinates': (-122.8763351, 38.8434982)}",Geysers,CA,0.8,2.54,1.58
M 0 5 6km NW of The Geysers CA,2022-04-14T20:49:15.638Z,2022-04-14 20:49:15.638000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717585,"{'type': 'Point', 'coordinates': (-122.8026657, 38.8235016)}",Geysers,CA,0.5,3.16,1.96
M 2 0 13km ENE of Cloverdale CA,2022-04-14T22:56:16.387Z,2022-04-14 22:56:16.387000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717580,"{'type': 'Point', 'coordinates': (-122.8789978, 38.8424988)}",Cloverdale,CA,2.0,2.67,1.66
M 1 5 36 km SSW of Central Alaska,2022-04-14T20:13:34.081Z,2022-04-14 20:13:34.081000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sbv4ps,"{'type': 'Point', 'coordinates': (-145.0652, 65.2629)}",Central,Alaska,1.5,1.00,0.62
M 2 1 5 km SW of Guánica Puerto Rico,2022-04-14T20:16:43.360Z,2022-04-14 20:16:43.360000,https://earthquake.usgs.gov/earthquakes/eventpage/pr71344588,"{'type': 'Point', 'coordinates': (-66.9501666666667, 17.9373333333333)}",Puerto,Rico,2.1,8.93,5.55
M 0 6 12km E of Coso Junction CA,2022-04-14T20:41:33.716Z,2022-04-14 20:41:33.716000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236432,"{'type': 'Point', 'coordinates': (-117.8156667, 36.027)}",Junction,CA,0.6,1.87,1.16
M 1 5 Quarry Blast 5km SSE of Home Gardens CA,2022-04-14T20:37:24.041Z,2022-04-14 20:37:24.041000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236424,"{'type': 'Point', 'coordinates': (-117.4903333, 33.839)}",Gardens,CA,1.5,-0.54,-0.34
M 1 2 22km ENE of Little Lake CA,2022-04-14T20:20:49.569Z,2022-04-14 20:20:49.569000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236408,"{'type': 'Point', 'coordinates': (-117.6908333, 36.0296667)}",Lake,CA,1.2,2.01,1.25
M 0 5 16km WSW of Toms Place CA,2022-04-14T21:00:16.706Z,2022-04-14 21:00:16.706000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717575,"{'type': 'Point', 'coordinates': (-118.8411667, 37.5036667)}",Place,CA,0.5,3.91,2.43
M 0 4 15km N of Warner Springs CA,2022-04-14T20:05:57.460Z,2022-04-14 20:05:57.460000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236392,"{'type': 'Point', 'coordinates': (-116.6038333, 33.4155)}",Springs,CA,0.4,10.08,6.26
M 1 2 21 km W of Denali Park Alaska,2022-04-14T19:42:10.242Z,2022-04-14 19:42:10.242000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sbfklj,"{'type': 'Point', 'coordinates': (-149.3455, 63.6982)}",Park,Alaska,1.2,6.60,4.10
M 2 3 15 km S of Fern Forest Hawaii,2022-04-14T20:53:39.940Z,2022-04-14 20:53:39.940000,https://earthquake.usgs.gov/earthquakes/eventpage/hv72983827,"{'type': 'Point', 'coordinates': (-155.117833333333, 19.3306666666667)}",Forest,Hawaii,2.3,5.27,3.27
M 1 1 13 km SW of Susitna Alaska,2022-04-14T19:28:27.898Z,2022-04-14 19:28:27.898000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sbc21j,"{'type': 'Point', 'coordinates': (-150.6876, 61.4616)}",Susitna,Alaska,1.1,53.40,33.18
M 1 1 12km SSW of Tres Pinos CA,2022-04-14T22:13:15.147Z,2022-04-14 22:13:15.147000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717565,"{'type': 'Point', 'coordinates': (-121.363, 36.683)}",Pinos,CA,1.1,1.11,0.69
M 0 9 2km NNW of The Geysers CA,2022-04-14T21:21:17.835Z,2022-04-14 21:21:17.835000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717560,"{'type': 'Point', 'coordinates': (-122.7634964, 38.7905006)}",Geysers,CA,0.9,2.12,1.32
M 1 6 52 km NE of Chase Alaska,2022-04-14T19:35:31.460Z,2022-04-14 19:35:31.460000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sb9i5q,"{'type': 'Point', 'coordinates': (-149.3615, 62.7781)}",Chase,Alaska,1.6,2.30,1.43
M 1 7 Quarry Blast 5km E of Vallejo CA,2022-04-14T21:19:07.111Z,2022-04-14 21:19:07.111000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717555,"{'type': 'Point', 'coordinates': (-122.1753333, 38.1165)}",Vallejo,CA,1.7,-0.09,-0.06
M 1 4 42 km SE of Denali National Park Alaska,2022-04-14T18:54:46.596Z,2022-04-14 18:54:46.596000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224saw6mr,"{'type': 'Point', 'coordinates': (-151.1023, 63.2783)}",Park,Alaska,1.4,0.00,0.00
M 1 4 28 km NNE of Chickaloon Alaska,2022-04-14T18:46:52.395Z,2022-04-14 18:46:52.395000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224savjxa,"{'type': 'Point', 'coordinates': (-148.3193, 62.0472)}",Chickaloon,Alaska,1.4,37.60,23.36
M 2 5 Island of Hawaii Hawaii,2022-04-14T21:34:39.020Z,2022-04-14 21:34:39.020000,https://earthquake.usgs.gov/earthquakes/eventpage/hv72983792,"{'type': 'Point', 'coordinates': (-155.385, 19.2523333333333)}",Hawaii,Hawaii,2.5,32.22,20.02
M 2 1 20km SE of Pinnacles CA,2022-04-14T20:30:15.508Z,2022-04-14 20:30:15.508000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717545,"{'type': 'Point', 'coordinates': (-120.9833298, 36.4059982)}",Pinnacles,CA,2.1,4.36,2.71
M 0 9 7km WNW of Cobb CA,2022-04-14T20:15:16.410Z,2022-04-14 20:15:16.410000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717540,"{'type': 'Point', 'coordinates': (-122.8033371, 38.8380013)}",Cobb,CA,0.9,3.07,1.91
M 1 3 Quarry Blast 13km SE of Tehachapi CA,2022-04-14T19:41:22.917Z,2022-04-14 19:41:22.917000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236312,"{'type': 'Point', 'coordinates': (-118.3436667, 35.0576667)}",Tehachapi,CA,1.3,-1.01,-0.63
M 0 7 1 km NNE of Magna Utah,2022-04-14T18:59:21.570Z,2022-04-14 18:59:21.570000,https://earthquake.usgs.gov/earthquakes/eventpage/uu60491492,"{'type': 'Point', 'coordinates': (-112.0936667, 40.7215)}",Magna,Utah,0.7,10.34,6.42
M 1 1 Quarry Blast 46km NE of Holtville CA,2022-04-14T19:19:18.177Z,2022-04-14 19:19:18.177000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236304,"{'type': 'Point', 'coordinates': (-114.99, 33.058)}",Holtville,CA,1.1,-0.23,-0.14
M 1 3 13km SE of Anza CA,2022-04-14T18:37:10.580Z,2022-04-14 18:37:10.580000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236288,"{'type': 'Point', 'coordinates': (-116.5581667, 33.4836667)}",Anza,CA,1.3,10.34,6.42
M 1 3 21 km N of Fishhook Alaska,2022-04-14T17:54:16.693Z,2022-04-14 17:54:16.693000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224saaseb,"{'type': 'Point', 'coordinates': (-149.249, 61.9407)}",Fishhook,Alaska,1.3,0.00,0.00
M 0 7 3km NNW of Palomar Observatory CA,2022-04-14T18:28:06.839Z,2022-04-14 18:28:06.839000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236272,"{'type': 'Point', 'coordinates': (-116.8748333, 33.3841667)}",Observatory,CA,0.7,6.47,4.02
M 0 5 17 km S of Deltana Alaska,2022-04-14T18:19:41.994Z,2022-04-14 18:19:41.994000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sa7men,"{'type': 'Point', 'coordinates': (-145.2329, 63.7192)}",Deltana,Alaska,0.5,13.10,8.14
M 1 3 13 km N of Indian Springs Nevada,2022-04-14T18:10:00.978Z,2022-04-14 18:10:00.978000,https://earthquake.usgs.gov/earthquakes/eventpage/nn00837182,"{'type': 'Point', 'coordinates': (-115.643, 36.6905)}",Springs,Nevada,1.3,10.50,6.52
M 3 3 37 km N of Dyer Nevada,2022-04-14T20:52:25.868Z,2022-04-14 20:52:25.868000,https://earthquake.usgs.gov/earthquakes/eventpage/nn00837174,"{'type': 'Point', 'coordinates': (-118.0462, 38.0016)}",Dyer,Nevada,3.3,5.90,3.67
M 1 2 35 km ESE of Skwentna Alaska,2022-04-14T17:31:47.611Z,2022-04-14 17:31:47.611000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sa4ma4,"{'type': 'Point', 'coordinates': (-150.745, 61.9083)}",Skwentna,Alaska,1.2,60.00,37.28
M 0 6 15 km N of Indian Springs Nevada,2022-04-14T20:04:15.851Z,2022-04-14 20:04:15.851000,https://earthquake.usgs.gov/earthquakes/eventpage/nn00837190,"{'type': 'Point', 'coordinates': (-115.6968, 36.7105)}",Springs,Nevada,0.6,16.60,10.31
M 0 9 10km WSW of Searles Valley CA,2022-04-14T18:22:54.811Z,2022-04-14 18:22:54.811000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236256,"{'type': 'Point', 'coordinates': (-117.5, 35.7186667)}",Valley,CA,0.9,7.07,4.39
M 1 2 23km S of Maricopa CA,2022-04-14T18:20:34.795Z,2022-04-14 18:20:34.795000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236248,"{'type': 'Point', 'coordinates': (-119.438, 34.8553333)}",Maricopa,CA,1.2,1.50,0.93
M 1 3 Southern Alaska,2022-04-14T17:15:10.502Z,2022-04-14 17:15:10.502000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sa27lu,"{'type': 'Point', 'coordinates': (-152.0814, 60.3925)}",Southern,Alaska,1.3,82.40,51.20
M 2 3 34 km NW of Stanley Idaho,2022-04-14T21:37:01.830Z,2022-04-14 21:37:01.830000,https://earthquake.usgs.gov/earthquakes/eventpage/mb80543014,"{'type': 'Point', 'coordinates': (-115.2105, 44.46)}",Stanley,Idaho,2.3,5.40,3.36
M 1 1 65 km NE of Cordova Alaska,2022-04-14T17:10:00.772Z,2022-04-14 17:10:00.772000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224s9pefl,"{'type': 'Point', 'coordinates': (-144.8321, 60.9222)}",Cordova,Alaska,1.1,13.50,8.39
M 0 8 12km NE of Coso Junction CA,2022-04-14T19:16:18.434Z,2022-04-14 19:16:18.434000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236232,"{'type': 'Point', 'coordinates': (-117.8553333, 36.1251667)}",Junction,CA,0.8,2.09,1.30
M 1 1 4 km NNE of Happy Valley Alaska,2022-04-14T16:45:58.924Z,2022-04-14 16:45:58.924000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224s9m67h,"{'type': 'Point', 'coordinates': (-151.6897, 59.9816)}",Valley,Alaska,1.1,29.00,18.02
M 1 4 10 km WSW of Chase Alaska,2022-04-14T16:44:03.107Z,2022-04-14 16:44:03.107000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224s9l9jn,"{'type': 'Point', 'coordinates': (-150.2838, 62.4149)}",Chase,Alaska,1.4,45.90,28.52
M 0 7 2km NE of Loma Linda CA,2022-04-14T19:06:24.979Z,2022-04-14 19:06:24.979000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236216,"{'type': 'Point', 'coordinates': (-117.2458333, 34.0633333)}",Linda,CA,0.7,15.04,9.35
M 1 3 8km NE of Coso Junction CA,2022-04-14T16:53:19.787Z,2022-04-14 16:53:19.787000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236208,"{'type': 'Point', 'coordinates': (-117.8895, 36.1)}",Junction,CA,1.3,3.47,2.16
M 1 7 4km SW of Santa Paula CA,2022-04-14T18:13:23.073Z,2022-04-14 18:13:23.073000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236192,"{'type': 'Point', 'coordinates': (-119.0963333, 34.3283333)}",Paula,CA,1.7,11.11,6.90
M 1 7 4 km SSE of Pāhala Hawaii,2022-04-14T16:08:27.930Z,2022-04-14 16:08:27.930000,https://earthquake.usgs.gov/earthquakes/eventpage/hv72983722,"{'type': 'Point', 'coordinates': (-155.463500976562, 19.1634998321533)}",Pāhala,Hawaii,1.7,36.36,22.59
M 2 3 4km NNW of Pinnacles CA,2022-04-14T18:23:26.660Z,2022-04-14 18:23:26.660000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73718306,"{'type': 'Point', 'coordinates': (-121.1549988, 36.5618324)}",Pinnacles,CA,2.3,7.70,4.78
M 1 0 8km WNW of Cobb CA,2022-04-14T16:45:15.067Z,2022-04-14 16:45:15.067000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73718301,"{'type': 'Point', 'coordinates': (-122.796669, 38.857666)}",Cobb,CA,1.0,18.33,11.39
M 2 5 36 km NNE of Petersville Alaska,2022-04-14T17:29:51.040Z,2022-04-14 17:29:51.040000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224s95vzr,"{'type': 'Point', 'coordinates': (-150.5856, 62.8151)}",Petersville,Alaska,2.5,71.70,44.55
M 0 9 2km NE of The Geysers CA,2022-04-14T16:23:23.952Z,2022-04-14 16:23:23.952000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73718296,"{'type': 'Point', 'coordinates': (-122.7381668, 38.7905006)}",Geysers,CA,0.9,1.76,1.09
M 0 1 7km SSE of Idyllwild CA,2022-04-14T18:09:00.616Z,2022-04-14 18:09:00.616000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236184,"{'type': 'Point', 'coordinates': (-116.7038333, 33.6781667)}",Idyllwild,CA,0.1,14.22,8.84
M 4 9 49 km W of Villazón Bolivia,2022-04-14T16:09:54.040Z,2022-04-14 16:09:54.040000,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h29w,"{'type': 'Point', 'coordinates': (-66.0732, -22.0537)}",Villazón,Bolivia,4.9,262.90,163.36
M 1 9 2 km N of Indios Puerto Rico,2022-04-14T16:27:40.080Z,2022-04-14 16:27:40.080000,https://earthquake.usgs.gov/earthquakes/eventpage/pr71344583,"{'type': 'Point', 'coordinates': (-66.823, 18.0165)}",Puerto,Rico,1.9,17.42,10.82
M 2 2 3km NNW of Pinnacles CA,2022-04-14T17:42:15.402Z,2022-04-14 17:42:15.402000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73718291,"{'type': 'Point', 'coordinates': (-121.1538315, 36.559166)}",Pinnacles,CA,2.2,7.42,4.61
M 1 5 29 km NNE of Alta Wyoming,2022-04-14T22:23:55.530Z,2022-04-14 22:23:55.530000,https://earthquake.usgs.gov/earthquakes/eventpage/mb80543004,"{'type': 'Point', 'coordinates': (-110.8658333, 43.9836667)}",Alta,Wyoming,1.5,9.31,5.78
M 0 6 63 km W of Tyonek Alaska,2022-04-14T15:30:58.413Z,2022-04-14 15:30:58.413000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224s8z1ur,"{'type': 'Point', 'coordinates': (-152.312, 61.0301)}",Tyonek,Alaska,0.6,103.10,64.06
M 2 3 3 km NW of Guayanilla Puerto Rico,2022-04-14T15:46:42.200Z,2022-04-14 15:46:42.200000,https://earthquake.usgs.gov/earthquakes/eventpage/pr71344578,"{'type': 'Point', 'coordinates': (-66.8148333333333, 18.0353333333333)}",Puerto,Rico,2.3,6.61,4.11
M 0 3 5km NW of The Geysers CA,2022-04-14T16:59:25.146Z,2022-04-14 16:59:25.146000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73718286,"{'type': 'Point', 'coordinates': (-122.8043365, 38.8064995)}",Geysers,CA,0.3,1.26,0.78
M 0 9 2 km NW of Point MacKenzie Alaska,2022-04-14T15:13:28.656Z,2022-04-14 15:13:28.656000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224s8vn4o,"{'type': 'Point', 'coordinates': (-150.0093, 61.3749)}",MacKenzie,Alaska,0.9,37.50,23.30
M 2 2 6 km NW of Medford Oklahoma,2022-04-14T15:22:32.791Z,2022-04-14 15:22:32.791000,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022hhit,"{'type': 'Point', 'coordinates': (-97.7825, 36.85416667)}",Medford,Oklahoma,2.2,7.84,4.87
M 1 8 6 km NW of Medford Oklahoma,2022-04-14T15:16:11.767Z,2022-04-14 15:16:11.767000,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022hhip,"{'type': 'Point', 'coordinates': (-97.77866667, 36.852)}",Medford,Oklahoma,1.8,6.29,3.91
M 1 0 19km SW of New Idria CA,2022-04-14T15:31:14.632Z,2022-04-14 15:31:14.632000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73718281,"{'type': 'Point', 'coordinates': (-120.8358307, 36.3086662)}",Idria,CA,1.0,6.21,3.86
